meter_id,reading_timestamp,region,feeder_type,kwh_consumed,voltage_avg,temperature_c,outage_minutes
MTR-00001,2026-06-01 00:00:00,Central,residential,2.58,236.6,14.5,0
MTR-00002,2026-06-01 01:00:00,Central,residential,2.53,222.5,26.7,0
MTR-00003,2026-06-01 02:00:00,North,commercial,10.44,228.6,29.4,0
MTR-00004,2026-06-01 03:00:00,North,commercial,9.01,242.8,29.0,0
MTR-00005,2026-06-01 04:00:00,Central,mixed,7.31,238.6,16.1,0
MTR-00006,2026-06-01 05:00:00,East,residential,5.59,239.2,34.9,0
MTR-00007,2026-06-01 06:00:00,South,commercial,8.92,224.1,29.1,0
MTR-00008,2026-06-01 07:00:00,East,residential,4.75,220.6,22.2,0
MTR-00009,2026-06-01 08:00:00,Central,residential,4.91,220.6,27.1,0
MTR-00010,2026-06-01 09:00:00,East,commercial,11.71,222.4,28.7,0
MTR-00011,2026-06-01 10:00:00,West,mixed,8.5,240.5,19.8,0
MTR-00012,2026-06-01 11:00:00,Central,mixed,7.78,219.9,33.0,0
MTR-00013,2026-06-01 12:00:00,South,industrial,20.28,226.1,30.1,30
MTR-00014,2026-06-01 13:00:00,West,mixed,5.58,233.6,16.0,5
MTR-00015,2026-06-01 14:00:00,North,residential,3.49,223.0,22.3,0
MTR-00016,2026-06-01 15:00:00,West,residential,3.88,233.9,28.7,0
MTR-00017,2026-06-01 16:00:00,South,commercial,11.0,223.4,23.8,0
MTR-00018,2026-06-01 17:00:00,South,residential,5.44,233.1,32.7,0
MTR-00019,2026-06-01 18:00:00,East,residential,2.99,226.2,26.9,30
MTR-00020,2026-06-01 19:00:00,North,commercial,10.81,218.4,15.2,0
MTR-00021,2026-06-01 20:00:00,West,commercial,9.42,223.4,16.8,10
MTR-00022,2026-06-01 21:00:00,East,commercial,12.42,236.0,34.0,0
MTR-00023,2026-06-01 22:00:00,Central,mixed,7.84,217.8,33.3,0
MTR-00024,2026-06-01 23:00:00,North,commercial,10.36,217.6,26.7,0
MTR-00025,2026-06-02 00:00:00,Central,industrial,19.34,222.0,15.5,0
MTR-00026,2026-06-02 01:00:00,East,mixed,6.62,218.6,19.2,0
MTR-00027,2026-06-02 02:00:00,North,mixed,5.57,234.3,22.8,0
MTR-00028,2026-06-02 03:00:00,South,mixed,7.25,221.4,29.7,0
MTR-00029,2026-06-02 04:00:00,Central,mixed,8.26,218.1,17.9,5
MTR-00030,2026-06-02 05:00:00,South,residential,4.73,243.1,15.1,15
