meter_id,reading_timestamp,region,feeder_type,kwh_consumed,voltage_avg,temperature_c,outage_minutes
MTR-00091,2026-06-04 18:00:00,West,mixed,8.15,229.3,28.9,0
MTR-00092,2026-06-04 19:00:00,East,industrial,18.07,222.5,21.6,0
MTR-00093,2026-06-04 20:00:00,East,residential,6.15,221.4,30.0,0
MTR-00094,2026-06-04 21:00:00,Central,industrial,20.94,226.1,35.1,0
MTR-00095,2026-06-04 22:00:00,West,commercial,9.44,235.5,19.9,0
MTR-00096,2026-06-04 23:00:00,North,residential,5.36,228.3,32.8,0
MTR-00097,2026-06-05 00:00:00,North,industrial,21.84,227.2,34.2,0
MTR-00098,2026-06-05 01:00:00,West,commercial,8.56,243.8,17.2,0
MTR-00099,2026-06-05 02:00:00,West,commercial,11.94,224.3,30.7,0
MTR-00100,2026-06-05 03:00:00,South,industrial,20.74,218.8,26.2,0
MTR-00101,2026-06-05 04:00:00,West,industrial,18.27,218.1,28.2,0
MTR-00102,2026-06-05 05:00:00,South,mixed,7.67,235.7,20.3,0
MTR-00103,2026-06-05 06:00:00,Central,industrial,20.97,242.1,30.9,0
MTR-00104,2026-06-05 07:00:00,East,commercial,11.78,218.0,27.9,0
MTR-00105,2026-06-05 08:00:00,Central,industrial,18.29,227.3,23.4,0
MTR-00106,2026-06-05 09:00:00,North,mixed,8.57,236.6,23.4,0
MTR-00107,2026-06-05 10:00:00,East,residential,4.81,232.4,18.9,0
MTR-00108,2026-06-05 11:00:00,Central,residential,4.54,228.4,30.4,0
MTR-00109,2026-06-05 12:00:00,North,mixed,6.44,225.7,27.6,0
MTR-00110,2026-06-05 13:00:00,Central,commercial,8.51,242.5,21.1,5
MTR-00111,2026-06-05 14:00:00,Central,residential,3.17,243.2,23.8,0
MTR-00112,2026-06-05 15:00:00,West,residential,4.3,221.3,28.1,0
MTR-00113,2026-06-05 16:00:00,West,mixed,8.07,242.0,30.3,0
MTR-00114,2026-06-05 17:00:00,North,residential,4.6,235.9,14.6,0
MTR-00115,2026-06-05 18:00:00,South,mixed,8.4,228.9,16.0,0
MTR-00116,2026-06-05 19:00:00,West,mixed,9.24,227.6,34.1,0
MTR-00117,2026-06-05 20:00:00,South,commercial,8.36,232.8,23.8,0
MTR-00118,2026-06-05 21:00:00,North,residential,3.25,242.2,19.9,0
MTR-00119,2026-06-05 22:00:00,West,industrial,20.72,234.5,29.6,10
MTR-00120,2026-06-05 23:00:00,South,mixed,7.1,228.7,21.4,0
